# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 721080396983
#
# Children      Self       Samples  Command  Shared Object     Symbol                                      
# ........  ........  ............  .......  ................  ............................................
#
     0.48%     0.43%           258  fio      fio               [.] add_clat_sample
     0.47%     0.42%           254  fio      fio               [.] td_io_commit
     0.47%     0.29%           176  fio      [kernel.vmlinux]  [k] iommu_get_dma_domain
     0.46%     0.36%           217  fio      [kernel.vmlinux]  [k] preempt_count_sub
     0.46%     0.45%           271  fio      [kernel.vmlinux]  [k] entry_SYSRETQ_unsafe_stack
     0.44%     0.40%           242  fio      [kernel.vmlinux]  [k] fget
     0.44%     0.39%           234  fio      fio               [.] account_io_completion
     0.42%     0.35%           211  fio      fio               [.] io_completed
     0.41%     0.20%           123  fio      [kernel.vmlinux]  [k] xas_load
     0.39%     0.36%           217  fio      [kernel.vmlinux]  [k] __get_task_ioprio
     0.39%     0.38%           226  fio      [nvme_core]       [k] nvme_setup_cmd
     0.39%     0.26%           158  fio      fio               [.] __get_io_u
     0.36%     0.33%           199  fio      [kernel.vmlinux]  [k] mutex_lock
     0.34%     0.32%           191  fio      fio               [.] io_u_queued_complete
     0.34%     0.29%           175  fio      [kernel.vmlinux]  [k] kthread_blkcg
     0.33%     0.15%            89  fio      [kernel.vmlinux]  [k] fpregs_assert_state_consistent
     0.33%     0.23%           140  fio      fio               [.] axmap_set_nr
     0.32%     0.32%           190  fio      [kernel.vmlinux]  [k] syscall_return_via_sysret
     0.32%     0.17%           105  fio      [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.32%     0.31%           187  fio      [kernel.vmlinux]  [k] error_entry
     0.31%     0.12%            74  fio      [kernel.vmlinux]  [k] __blk_account_io_start
     0.30%     0.29%           172  fio      [kernel.vmlinux]  [k] copy_user_short_string
     0.30%     0.24%           147  fio      [kernel.vmlinux]  [k] _copy_from_user
     0.30%     0.13%            77  fio      [kernel.vmlinux]  [k] iov_iter_revert
     0.30%     0.29%           174  fio      [kernel.vmlinux]  [k] blkcg_set_ioprio
     0.30%     0.09%            52  fio      [kernel.vmlinux]  [k] __rq_qos_throttle
     0.29%     0.19%           112  fio      [kernel.vmlinux]  [k] in_lock_functions
     0.29%     0.26%           155  fio      [kernel.vmlinux]  [k] blk_mq_sched_bio_merge
     0.29%     0.28%           166  fio      fio               [.] td_io_getevents
     0.28%     0.26%           157  fio      fio               [.] io_queue_event
     0.27%     0.12%            75  fio      libc.so.6         [.] __memset_evex_unaligned_erms
     0.27%     0.26%           154  fio      [kernel.vmlinux]  [k] fput
     0.26%     0.26%           155  fio      fio               [.] io_u_mark_submit
     0.25%     0.24%           143  fio      [kernel.vmlinux]  [k] folio_unlock
     0.25%     0.24%           146  fio      [kernel.vmlinux]  [k] mutex_trylock
     0.25%     0.00%             0  fio      [unknown]         [.] 0x0000000000000001
     0.25%     0.11%            64  fio      [kernel.vmlinux]  [k] ctx_flush_and_put
     0.24%     0.22%           130  fio      [kernel.vmlinux]  [k] io_file_get_flags
     0.23%     0.19%           116  fio      [kernel.vmlinux]  [k] blkdev_dio_unaligned.isra.0
     0.23%     0.23%           139  fio      [kernel.vmlinux]  [k] __io_commit_cqring_flush
     0.23%     0.13%            80  fio      [kernel.vmlinux]  [k] io_rw_init_file
     0.23%     0.02%            15  fio      [kernel.vmlinux]  [k] radix_tree_lookup
     0.22%     0.18%           111  fio      [kernel.vmlinux]  [k] blk_attempt_plug_merge
     0.22%     0.18%           106  fio      [kernel.vmlinux]  [k] iov_iter_revert.part.0
     0.22%     0.03%            18  fio      [kernel.vmlinux]  [k] set_page_dirty
     0.21%     0.13%            79  fio      [kernel.vmlinux]  [k] wbt_wait
     0.21%     0.07%            42  fio      [kernel.vmlinux]  [k] __this_cpu_preempt_check
     0.21%     0.00%             1  fio      [kernel.vmlinux]  [k] asm_exc_page_fault
     0.21%     0.18%           109  fio      [kernel.vmlinux]  [k] bio_integrity_prep
     0.21%     0.05%            33  fio      [kernel.vmlinux]  [k] __rq_qos_issue
     0.21%     0.16%            98  fio      fio               [.] ntime_since
     0.21%     0.20%           123  fio      [kernel.vmlinux]  [k] __radix_tree_lookup
     0.20%     0.10%            61  fio      [kernel.vmlinux]  [k] __check_object_size
     0.20%     0.20%           119  fio      [kernel.vmlinux]  [k] iommu_pgsize
     0.20%     0.14%            83  fio      [kernel.vmlinux]  [k] _raw_spin_unlock_irq
